slug,country,iso,url,language,instrument,category,requires_headless,content_type,issue_ref,notes,status
kuwait,Kuwait,KWT,,,,unknown,false,html,,WHO member placeholder,todo
kyrgyzstan,Kyrgyzstan,KGZ,,,,unknown,false,html,,WHO member placeholder,todo
laos,Laos,LAO,,,,unknown,false,html,,WHO member placeholder,todo
latvia,Latvia,LVA,,,,unknown,false,html,,WHO member placeholder,todo
lebanon,Lebanon,LBN,,,,unknown,false,html,,WHO member placeholder,done
lesotho,Lesotho,LSO,,,,unknown,false,html,,WHO member placeholder,todo
liberia,Liberia,LBR,,,,unknown,false,html,,WHO member placeholder,todo
libya,Libya,LBY,,,,unknown,false,html,,WHO member placeholder,todo
liechtenstein,Liechtenstein,LIE,,,,unknown,false,html,,WHO member placeholder,todo
lithuania,Lithuania,LTU,,,,unknown,false,html,,WHO member placeholder,todo
luxembourg,Luxembourg,LUX,,,,unknown,false,html,,WHO member placeholder,todo
macau,Macau,MAC,,,,unknown,false,html,,WHO member placeholder,todo
madagascar,Madagascar,MDG,,,,unknown,false,html,,WHO member placeholder,todo
malawi,Malawi,MWI,,,,unknown,false,html,,WHO member placeholder,todo
malaysia,Malaysia,MYS,,,,unknown,false,html,,WHO member placeholder,todo
maldives,Maldives,MDV,,,,unknown,false,html,,WHO member placeholder,todo
mali,Mali,MLI,,,,unknown,false,html,,WHO member placeholder,todo
malta,Malta,MLT,,,,unknown,false,html,,WHO member placeholder,todo
marshall_islands,Marshall Islands,MHL,,,,unknown,false,html,,WHO member placeholder,todo
martinique,Martinique,MTQ,,,,unknown,false,html,,WHO member placeholder,todo
mauritania,Mauritania,MRT,,,,unknown,false,html,,WHO member placeholder,todo
mauritius,Mauritius,MUS,,,,unknown,false,html,,WHO member placeholder,todo
mayotte,Mayotte,MYT,,,,unknown,false,html,,WHO member placeholder,todo
mexico,Mexico,MEX,,,,unknown,false,html,,WHO member placeholder,done
micronesia,Micronesia,FSM,,,,unknown,false,html,,WHO member placeholder,todo
moldova,Moldova,MDA,,,,unknown,false,html,,WHO member placeholder,todo
